#BOOKMARKS;;;;;;;;;;;;;;x;
b_cascia;Cascia;Cascia;Cascia;;Cascia;;;;;;;;;x;
b_cascia_adj;Cascian;Cascian;Cascian;;Cascian;;;;;;;;;x;
b_rieti;Rieti;Rieti;Rieti;;Rieti;;;;;;;;;x;
b_rieti_adj;Rietan;Rietan;Rietan;;Rietan;;;;;;;;;x;
b_torgiano;Torgiano;Torgiano;Torgiano;;Torgiano;;;;;;;;;x;
b_torgiano_adj;Torgianan;Torgianan;Torgianan;;Torgianan;;;;;;;;;x;
b_magione;Magione;Magione;Magione;;Magione;;;;;;;;;x;
b_magione_adj;Magionan;Magionan;Magionan;;Magionan;;;;;;;;;x;
b_marsciano;Marsciano;Marsciano;Marsciano;;Marsciano;;;;;;;;;x;
b_marsciano_adj;Marscianan;Marscianan;Marscianan;;Marscianan;;;;;;;;;x;
b_deruta;Deruta;Deruta;Deruta;;Deruta;;;;;;;;;x;
b_deruta_adj;Derutan;Derutan;Derutan;;Derutan;;;;;;;;;x;
b_fontignano;Fontignano;Fontignano;Fontignano;;Fontignano;;;;;;;;;x;
b_fontignano_adj;Fontignanan;Fontignanan;Fontignanan;;Fontignanan;;;;;;;;;x;
b_gorgora;Gorgora;Gorgora;Gorgora;;Gorgora;;;;;;;;;;
b_gorgora_adj;Gorgoran;Gorgoran;Gorgoran;;Gorgoran;;;;;;;;;;
PROV682;Van;Van;Van;;Van;;;;;;;;;x;
PROV1719;Perugia;Perugia;Perugia;;Perugia;;;;;;;;;;
TRIER;Trier;Tréves;Trier;;Tréveris;;;;;;;;;x;
TRIER_ADJ;Trier;Tréves;Trier;;Tréveris;;;;;;;;;x;
NANCY;Nancy;Nancy;Nancy;;Nancy;;;;;;;;;x;
NANCY_ADJ;Nancy;Nancy;Nancy;;Nancy;;;;;;;;;x;
METZ;Metz;Metz;Metz;;Metz;;;;;;;;;;
METZ_ADJ;Metz;Metz;Metz;;Metz;;;;;;;;;;
C_FUSTAT;Fustat;Fustat;Fustat;;Fustat;;;;;;;;;x;
C_FUSTAT_ADJ;Fustat;Fustat;Fustat;;Fustat;;;;;;;;;x;
D_FUSTAT;Fustat;Fustat;Fustat;;Fustat;;;;;;;;;x;
D_FUSTAT_ADJ;Fustat;Fustat;Fustat;;Fustat;;;;;;;;;x;
FRANCIA;Francia;Francia;Francia;;Francia;;;;;;;;;;
FRANCIA_ADJ;Francian;Francian;Francian;;Francian;;;;;;;;;;
SAXONY;Saxony;Saxe;Sachsen;;Sajonia;;;;;;;;;;
SAXONY_ADJ;Saxon;Saxe;Sachsen;;Sajonia;;;;;;;;;;
LOTHRINGEN;Lothringen;Lothringen;Lothringen;;Lothringen;;;;;;;;;;
LOTHRINGEN_ADJ;Lothringen;Lothringen;Lothringen;;Lothringen;;;;;;;;;;
U_LOTHRINGEN;Upper Lothringen;Haute Lothringen;Oberlothringen;;Alto Lothringen;;;;;;;;;;
U_LOTHRINGEN_ADJ;Upper Lothringen;Haute Lothringen;Oberlothringen;;Alto Lothringen;;;;;;;;;;
L_LOTHRINGEN;Lower Lothringen;Basse Lothringen;Niederlothringen;;Baja Lothringen;;;;;;;;;;
L_LOTHRINGEN_ADJ;Lower Lothringen;Basse Lothringen;Niederlothringen;;Baja Lothringen;;;;;;;;;;
LOTHARINGIA;Lotharingia;Lotharingia;Lotharingia;;Lotharingia;;;;;;;;;;
LOTHARINGIA_ADJ;Lotharingian;Lotharingian;Lotharingian;;Lotharingian;;;;;;;;;;
#CASUS BELLIS;;;;;;;;;;;;;;x;
CB_NAME_WEAKEN_IMPERIAL;Reduce Imperial Authority;Réduire l'autorité impériale ;Verringerung der kaiserlichen Autorität ;;Reducir la autoridad imperial ;;;;;;;;;x;
WAR_NAME_WEAKEN_IMPERIAL;$ORDER$$FIRST_ADJ$ war to reduce Imperial authority;$ORDER$$FIRST_ADJ$ war to reduce Imperial authority;$ORDER$$FIRST_ADJ$ war to reduce Imperial authority;;$ORDER$$FIRST_ADJ$ war to reduce Imperial authority;;;;;;;;;x;
weaken_imperial_authority_desc;The vassals of the Empire are concerned about the Emperor's growing power, and wish to see it curtailed.;The vassals of the Empire are concerned about the Emperor's growing power, and wish to see it curtailed.;The vassals of the Empire are concerned about the Emperor's growing power, and wish to see it curtailed.;;The vassals of the Empire are concerned about the Emperor's growing power, and wish to see it curtailed.;;;;;;;;;x;
CB_NAME_CONVERT_BOHEMIA;Convert Bohemia;Convertir Bohême ;Konvertieren Böhmen ;;Convertir Bohemia;;;;;;;;;x;
WAR_NAME_CONVERT_BOHEMIA;$ORDER$ Hussite war to convert Bohemia;$ORDER$ Hussite war to convert Bohemia;$ORDER$ Hussite war to convert Bohemia;;$ORDER$ Hussite war to convert Bohemia;;;;;;;;;x;
convert_bohemia_desc;Hussite zealots, sick of persecution, seek to convert Bohemia to their faith;Hussite zealots, sick of persecution, seek to convert Bohemia to their faith;Hussite zealots, sick of persecution, seek to convert Bohemia to their faith;;Hussite zealots, sick of persecution, seek to convert Bohemia to their faith;;;;;;;;;x;
ghaznavid_1000_desc;The Saffarids in Sistan have become increasingly unpopular, and their subjects cry out for liberation. Liberation it's well within our power to provide!;The Saffarids in Sistan have become increasingly unpopular, and their subjects cry out for liberation. Liberation it's well within our power to provide!;The Saffarids in Sistan have become increasingly unpopular, and their subjects cry out for liberation. Liberation it's well within our power to provide!;;The Saffarids in Sistan have become increasingly unpopular, and their subjects cry out for liberation. Liberation it's well within our power to provide!;;;;;;;;;x;
hre_vassalize_desc;The insolence of [From.GetBestName] cannot be allowed to stand! [From.GetSheHeCap] will join the Empire whether [From.GetSheHe] likes it or not. It's for [From.GetHerHis] own good.;The insolence of Bohemia cannot be allowed to stand! They will join the Empire whether they like it or not. It's for their own good.;The insolence of Bohemia cannot be allowed to stand! They will join the Empire whether they like it or not. It's for their own good.;;The insolence of Bohemia cannot be allowed to stand! They will join the Empire whether they like it or not. It's for their own good.;;;;;;;;;x;
HUSSITE_REVOLT;Hussite Revolt;Révolte Hussite;Hussiten Aufstand;;Revuelta Hussita;;;;;;;;;x;
uyunid_1077_desc;The Qarmatian heathens have terrorised Arabia for too long! Their communal state must be wiped from existence;The Qarmatian heathens have terrorised Arabia for too long! Their communal state must be wiped from existence;The Qarmatian heathens have terrorised Arabia for too long! Their communal state must be wiped from existence;;The Qarmatian heathens have terrorised Arabia for too long! Their communal state must be wiped from existence;;;;;;;;;;
CB_FORCE_PAPAL_CROWNING;Force a Papal Crowning;Force a Papal Crowning;Force a Papal Crowning;;Force a Papal Crowning;;;;;;;;;;
WAR_NAME_FORCE_PAPAL_CROWNING;$ORDER$$FIRST_ADJ$ war to force a Papal Crowning;$ORDER$$FIRST_ADJ$ war to force a Papal Crowning;$ORDER$$FIRST_ADJ$ war to force a Papal Crowning;;$ORDER$$FIRST_ADJ$ war to force a Papal Crowning;;;;;;;;;;
cb_force_papal_crowning_desc;The Pope refuses to crown you Emperor, but with some... persuasion, he'll soon see reason.;The Pope refuses to crown you Emperor, but with some... persuasion, he'll soon see reason.;The Pope refuses to crown you Emperor, but with some... persuasion, he'll soon see reason.;;The Pope refuses to crown you Emperor, but with some... persuasion, he'll soon see reason.;;;;;;;;;;
rexteut_story_cb;IF YOU ARE SEEING THIS A BUG HAS HAPPENED;IF YOU ARE SEEING THIS A BUG HAS HAPPENED;IF YOU ARE SEEING THIS A BUG HAS HAPPENED;;IF YOU ARE SEEING THIS A BUG HAS HAPPENED;;;;;;;;;;
carolingian_reconquest_rt_desc;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;;;;;;;;;;
CB_BURGUNDY_SUCCESSION;Force to recognise as heir;Force to recognise as heir;Force to recognise as heir;;Force to recognise as heir;;;;;;;;;;
WAR_NAME_BURGUNDY_SUCCESSION;$ORDER$War of [GetBurgundyName] succession;$ORDER$War of [GetBurgundyName] succession;$ORDER$War of [GetBurgundyName] succession;;$ORDER$War of [GetBurgundyName] succession;;;;;;;;;;
force_burgundian_succession_desc;§Y$TARGET$§! Refuses to name you heir, but that can be changed with a bit of violent negotiation;§Y$TARGET$§! Refuses to name you heir, but that can be changed with a bit of violent negotiation;§Y$TARGET$§! Refuses to name you heir, but that can be changed with a bit of violent negotiation;;§Y$TARGET$§! Refuses to name you heir, but that can be changed with a bit of violent negotiation;;;;;;;;;;
#FACTIONS;;;;;;;;;;;;;;x;
faction_sifp_title;Limit Imperial Authority;Limit Imperial Authority;Limit Imperial Authority;;Limit Imperial Authority;;;;;;;;;x;
faction_sifp_desc;Vassals desire more rights and autonomy, and wish to force the Emperor to accept this;Vassals desire more rights and autonomy, and wish to force the Emperor to accept this;Vassals desire more rights and autonomy, and wish to force the Emperor to accept this;;Vassals desire more rights and autonomy, and wish to force the Emperor to accept this;;;;;;;;;x;
faction_sifp_short;Authority;Authority;Authority;;Authority;;;;;;;;;x;
faction_treaty_verdun_title;Limit Imperial Authority;Limit Imperial Authority;Limit Imperial Authority;;Limit Imperial Authority;;;;;;;;;x;
faction_treaty_verdun_desc;Kings in the Empire are opposed to what they see as increasing imperial authority at their expense, and seek to officially partition the Empire;Kings in the Empire are opposed to what they see as increasing imperial authority at their expense, and seek to officially partition the Empire;Kings in the Empire are opposed to what they see as increasing imperial authority at their expense, and seek to officially partition the Empire;;Kings in the Empire are opposed to what they see as increasing imperial authority at their expense, and seek to officially partition the Empire;;;;;;;;;x;
faction_treaty_verdun_short;Authority;Authority;Authority;;Authority;;;;;;;;;x;
#DECISIONS;;;;;;;;;;;;;;x;
repudiate_papal;Repudiate Papal investiture;Repudiate Papal investiture;Repudiate Papal investiture;;Repudiate Papal investiture;;;;;;;;;x;
repudiate_papal_desc;Adopt Free Investiture regardless of the Pope's wishes, potentially re-igniting the Investiture Controversy;Adopt Free Investiture regardless of the Pope's wishes, potentially re-igniting the Investiture Controversy;Adopt Free Investiture regardless of the Pope's wishes, potentially re-igniting the Investiture Controversy;;Adopt Free Investiture regardless of the Pope's wishes, potentially re-igniting the Investiture Controversy;;;;;;;;;x;
revoke_sifp;Revoke the Statutum in Favorem Principum;Revoke the Statutum in Favorem Principum;Revoke the Statutum in Favorem Principum;;Revoke the Statutum in Favorem Principum;;;;;;;;;x;
revoke_sifp_desc;Have your vassals vote on whether to revoke the Statutum in Favorem Principum;Have your vassals vote on whether to revoke the Statutum in Favorem Principum;Have your vassals vote on whether to revoke the Statutum in Favorem Principum;;Have your vassals vote on whether to revoke the Statutum in Favorem Principum;;;;;;;;;x;
break_verdun;Restore Imperial Authority;Restore Imperial Authority;Restore Imperial Authority;;Restore Imperial Authority;;;;;;;;;x;
break_verdun_desc;Defy the division of the Empire and place power back into the Emperor's hands. Any king-level vassals will hardly be pleased, however...;Defy the division of the Empire and place power back into the Emperor's hands. Any king-level vassals will hardly be pleased, however...;Defy the division of the Empire and place power back into the Emperor's hands. Any king-level vassals will hardly be pleased, however...;;Defy the division of the Empire and place power back into the Emperor's hands. Any king-level vassals will hardly be pleased, however...;;;;;;;;;x;
faction_treaty_verdun_ultimatum;Demand limited Imperial authority;Demand limited Imperial authority;Demand limited Imperial authority;;Demand limited Imperial authority;;;;;;;;;x;
faction_treaty_verdun_ultimatum_desc;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] king-vassals.;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] king-vassals.;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] king-vassals.;;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] king-vassals.;;;;;;;;;x;
faction_sifp_ultimatum;Demand limited Imperial authority;Demand limited Imperial authority;Demand limited Imperial authority;;Demand limited Imperial authority;;;;;;;;;x;
faction_sifp_ultimatum_desc;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] vassals.;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] vassals.;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] vassals.;;Send [Liege.GetTitledFirstName] an ultimatum demanding rights and privileges for [Liege.GetHerHis] vassals.;;;;;;;;;x;
faction_sifp_prepare;Call to Arms;Call to Arms;Call to Arms;;Call to Arms;;;;;;;;;;
faction_sifp_prepare_desc;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to reduce Imperial authority. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstNameNoRegnal]'s vassals, to prepare for the possibility of civil war.;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to install §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstNameNoRegnal]'s vassals, to prepare for the possibility of civil war.;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to install §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstNameNoRegnal]'s vassals, to prepare for the possibility of civil war.;;Your faction is ready to rise up against §Y[Root.Liege.GetBestName]§!, should [Root.Liege.GetSheHe] refuse an ultimatum to install §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. Now is the time to send the call out to your supporters, and indeed all of [Root.Liege.GetTitledFirstNameNoRegnal]'s vassals, to prepare for the possibility of civil war.;;;;;;;;;;
raise_franconia;Raise Franconia to Grand Duchy status;Raise Franconia to Grand Duchy status;Raise Franconia to Grand Duchy status;;Raise Franconia to Grand Duchy status;;;;;;;;;x;
raise_franconia_desc;Use your authority as Emperor to raise Franconia to the status of Grand Duchy. If Franconia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Franconia to the status of Grand Duchy. If Franconia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Franconia to the status of Grand Duchy. If Franconia is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Franconia to the status of Grand Duchy. If Franconia is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_swabia;Raise Swabia to Grand Duchy status;Raise Swabia to Grand Duchy status;Raise Swabia to Grand Duchy status;;Raise Swabia to Grand Duchy status;;;;;;;;;x;
raise_swabia_desc;Use your authority as Emperor to raise Swabia to the status of Grand Duchy. If Swabia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Swabia to the status of Grand Duchy. If Swabia is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Swabia to the status of Grand Duchy. If Swabia is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Swabia to the status of Grand Duchy. If Swabia is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_bavaria;Raise Bavaria to Grand Duchy status;Raise Bavaria to Grand Duchy status;Raise Bavaria to Grand Duchy status;;Raise Bavaria to Grand Duchy status;;;;;;;;;x;
raise_bavaria_desc;Use your authority as Emperor to raise Bavaria to the status of Grand Duchy. If Bavaria is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Bavaria to the status of Grand Duchy. If Bavaria is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Bavaria to the status of Grand Duchy. If Bavaria is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Bavaria to the status of Grand Duchy. If Bavaria is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_austria;Raise Austria to Archduchy status;Raise Austria to Archduchy status;Raise Austria to Archduchy status;;Raise Austria to Archduchy status;;;;;;;;;x;
raise_austria_desc;Use your authority as Emperor to raise Austria to the status of Archduchy. If Austria is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Austria to the status of Archduchy. If Austria is owned by one of your vassals, their loyalty to you will be assured.;Use your authority as Emperor to raise Austria to the status of Archduchy. If Austria is owned by one of your vassals, their loyalty to you will be assured.;;Use your authority as Emperor to raise Austria to the status of Archduchy. If Austria is owned by one of your vassals, their loyalty to you will be assured.;;;;;;;;;x;
raise_luxembourg;Raise Luxembourg to Grand Duchy status;Raise Luxembourg to Grand Duchy status;Raise Luxembourg to Grand Duchy status;;Raise Luxembourg to Grand Duchy status;;;;;;;;;x;
