#STORY EVENTS#;;;;;;;;;;;;;;x;
EVTNAME_rexteut_1001;Adelaide of Italy;Adelaide of Italy;Adelaide of Italy;;Adelaide of Italy;;;;;;;;;x;
EVTOPTA_rexteut_1004;I'll do what I can to undo this injustice!;I'll do what I can to undo this injustice!;I'll do what I can to undo this injustice!;;I'll do what I can to undo this injustice!;;;;;;;;;;
EVTOPTB_rexteut_1004;I'd rather not get involved...;I'd rather not get involved...;I'd rather not get involved...;;I'd rather not get involved...;;;;;;;;;;
EVTDESC_rexteut_1005;Terrible news has reached you. It turns out Adelaide has escaped from your captivity with help from [From.GetBestName], and is staying at [From.GetHerHis] court! While this is bad enough, who can say what else Adelaide plans to get revenge on you...;Terrible news has reached you. It turns out Adelaide has escaped from your captivity with help from [From.GetBestName], and is staying at [From.GetHerHis] court! While this is bad enough, who can say what else Adelaide plans to get revenge on you...;Terrible news has reached you. It turns out Adelaide has escaped from your captivity with help from [From.GetBestName], and is staying at [From.GetHerHis] court! While this is bad enough, who can say what else Adelaide plans to get revenge on you...;;Terrible news has reached you. It turns out Adelaide has escaped from your captivity with help from [From.GetBestName], and is staying at [From.GetHerHis] court! While this is bad enough, who can say what else Adelaide plans to get revenge on you...;;;;;;;;;;
EVTOPTA_rexteut_1005;A pox on them both!;A pox on them both!;A pox on them both!;;A pox on them both!;;;;;;;;;;
EVTNAME_rexteut_1006;Adelaide of Italy;Adelaide of Italy;Adelaide of Italy;;Adelaide of Italy;;;;;;;;;x;
EVTDESC_rexteut_1006;An emissary has arrived in your court, carrying a most bizarre message: Adelaide, the widow of the last king of Italy, has been imprisoned by the *current* king of Italy for refusing to marry his son. Now she's reaching out to you, offering her hand in marriage in return for her rescue.;An emissary has arrived in your court, carrying a most bizarre message: Adelaide, the widow of the last king of Italy, has been imprisoned by the *current* king of Italy for refusing to marry his son. Now she's reaching out to you, offering her hand in marriage in return for her rescue.;An emissary has arrived in your court, carrying a most bizarre message: Adelaide, the widow of the last king of Italy, has been imprisoned by the *current* king of Italy for refusing to marry his son. Now she's reaching out to you, offering her hand in marriage in return for her rescue.;;An emissary has arrived in your court, carrying a most bizarre message: Adelaide, the widow of the last king of Italy, has been imprisoned by the *current* king of Italy for refusing to marry his son. Now she's reaching out to you, offering her hand in marriage in return for her rescue.;;;;;;;;;x;
EVTOPTA_rexteut_1006;To arms, my wife awaits me!;To arms, my wife awaits me!;To arms, my wife awaits me!;;To arms, my wife awaits me!;;;;;;;;;x;
EVTOPTB_rexteut_1006;Sounds like none of my business to be honest...;Sounds like none of my business to be honest...;Sounds like none of my business to be honest...;;Sounds like none of my business to be honest...;;;;;;;;;x;
EVTNAME_rexteut_1007;Otto of Germany;Otto of Germany;Otto of Germany;;Otto of Germany;;;;;;;;;x;
EVTDESC_rexteut_1007;Adelaide's escape from captivity has had some interesting and unsettling consequences: it seems she has managed to send an offer of marriage to Otto or Germany, who is coming to claim her. Violently if necessary.;Adelaide's escape from captivity has had some interesting and unsettling consequences: it seems she has managed to send an offer of marriage to Otto or Germany, who is coming to claim her. Violently if necessary.;Adelaide's escape from captivity has had some interesting and unsettling consequences: it seems she has managed to send an offer of marriage to Otto or Germany, who is coming to claim her. Violently if necessary.;;Adelaide's escape from captivity has had some interesting and unsettling consequences: it seems she has managed to send an offer of marriage to Otto or Germany, who is coming to claim her. Violently if necessary.;;;;;;;;;x;
EVTOPTA_rexteut_1007;Bring him on!;Bring him on!;Bring him on!;;Bring him on!;;;;;;;;;x;
EVTDESC_rexteut_1009;Now that Otto has arrived in Italy, you're now free to marry him.;Now that Otto has arrived in Italy, you're now free to marry him.;Now that Otto has arrived in Italy, you're now free to marry him.;;Now that Otto has arrived in Italy, you're now free to marry him.;;;;;;;;;;
EVTOPTA_rexteut_1009;I will meet with him and make it official.;I will meet with him and make it official.;I will meet with him and make it official.;;I will meet with him and make it official.;;;;;;;;;;
EVTNAME_rexteut_1010;Otto and Adelaide wed;Otto and Adelaide wed;Otto and Adelaide wed;;Otto and Adelaide wed;;;;;;;;;;
EVTDESCA_rexteut_1010;With your arrival in Italy, Adelaide has met with you. With the wedding ceremony out of the way, all that's left is to defeat Berengar.;With your arrival in Italy, Adelaide has met with you. With the wedding ceremony out of the way, all that's left is to defeat Berengar.;With your arrival in Italy, Adelaide has met with you. With the wedding ceremony out of the way, all that's left is to defeat Berengar.;;With your arrival in Italy, Adelaide has met with you. With the wedding ceremony out of the way, all that's left is to defeat Berengar.;;;;;;;;;;
EVTDESCB_rexteut_1010;With Berengar's defeat, Adelaide is free to meet you. Now all that's left is the wedding ceremony...;With Berengar's defeat, Adelaide is free to meet you. Now all that's left is the wedding ceremony...;With Berengar's defeat, Adelaide is free to meet you. Now all that's left is the wedding ceremony...;;With Berengar's defeat, Adelaide is free to meet you. Now all that's left is the wedding ceremony...;;;;;;;;;;
EVTOPTA_rexteut_1010;Here's to us!;Here's to us!;Here's to us!;;Here's to us!;;;;;;;;;;
EVTDESCA_rexteut_1011;Since your defeat by the accursed king Otto, your position as king of Italy has only got weaker. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;Since your defeat by the accursed king Otto, your position as king of Italy has only got weaker. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;Since your defeat by the accursed king Otto, your position as king of Italy has only got weaker. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;;Since your defeat by the accursed king Otto, your position as king of Italy has only got weaker. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;;;;;;;;;x;
EVTDESCB_rexteut_1011;Due to the fact that the perfidious king Otto defeated your father Berengar, your position as king of Italy is not exactly as strong as it could be. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;Due to the fact that the perfidious king Otto defeated your father Berengar, your position as king of Italy is not exactly as strong as it could be. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;Due to the fact that the perfidious king Otto defeated your father Berengar, your position as king of Italy is not exactly as strong as it could be. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;;Due to the fact that the perfidious king Otto defeated your father Berengar, your position as king of Italy is not exactly as strong as it could be. Perhaps if Rome, the eternal city, was in your control, people would give you the respect you deserve...;;;;;;;;;x;
EVTOPTA_rexteut_1011;Rome will make a fine addition to my realm!;Rome will make a fine addition to my realm!;Rome will make a fine addition to my realm!;;Rome will make a fine addition to my realm!;;;;;;;;;x;
EVTOPTB_rexteut_1011;That sounds like a very bad idea...;That sounds like a very bad idea...;That sounds like a very bad idea...;;That sounds like a very bad idea...;;;;;;;;;x;
EVTNAME_rexteut_1012;Pope under threat!;Pope under threat!;Pope under threat!;;Pope under threat!;;;;;;;;;x;
EVTDESCA_rexteut_1012;Berengar is up to his old tricks again. This time he's threatening the Papacy, seeking to add it to his Italian possessions, and the Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;Berengar is up to his old tricks again. This time he's threatening the Papacy, seeking to add it to his Italian possessions, and the Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;Berengar is up to his old tricks again. This time he's threatening the Papacy, seeking to add it to his Italian possessions, and the Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;;Berengar is up to his old tricks again. This time he's threatening the Papacy, seeking to add it to his Italian possessions, and the Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;;;;;;;;;x;
EVTDESCB_rexteut_1012;While Berengar is gone, his successor [From.GetFirstName] is following his legacy nicely,attempting to make up for [From.GetHerHis] father's short-falls by threatening the Papal State, hoping to add it to [FromGetHerHis] kingdom. The Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;While Berengar is gone, his successor [From.GetFirstName] is following his legacy nicely,attempting to make up for [From.GetHerHis] father's short-falls by threatening the Papal State, hoping to add it to [FromGetHerHis] kingdom. The Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;While Berengar is gone, his successor [From.GetFirstName] is following his legacy nicely,attempting to make up for [From.GetHerHis] father's short-falls by threatening the Papal State, hoping to add it to [FromGetHerHis] kingdom. The Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;;While Berengar is gone, his successor [From.GetFirstName] is following his legacy nicely,attempting to make up for [From.GetHerHis] father's short-falls by threatening the Papal State, hoping to add it to [FromGetHerHis] kingdom. The Pope has beseeched you for aid, offering to crown *you* as king of Italy in return for military help...;;;;;;;;;x;
EVTOPTA_rexteut_1012;Just so long as I don't have to marry him.;Just so long as I don't have to marry him.;Just so long as I don't have to marry him.;;Just so long as I don't have to marry him.;;;;;;;;;;
EVTOPTB_rexteut_1012;No, I'm already sick of Italian politics;No, I'm already sick of Italian politics;No, I'm already sick of Italian politics;;No, I'm already sick of Italian politics;;;;;;;;;x;
EVTNAME_rexteut_1013;Otto of Germany. Again.;Otto of Germany. Again.;Otto of Germany. Again.;;Otto of Germany. Again.;;;;;;;;;x;
EVTDESC_rexteut_1013;Extremely worrying news has reached you: it seems Otto is once again preparing to invade to support the Pope, this time with the goal of usurping your kingdom!;Extremely worrying news has reached you: it seems Otto is once again preparing to invade to support the Pope, this time with the goal of usurping your kingdom!;Extremely worrying news has reached you: it seems Otto is once again preparing to invade to support the Pope, this time with the goal of usurping your kingdom!;;Extremely worrying news has reached you: it seems Otto is once again preparing to invade to support the Pope, this time with the goal of usurping your kingdom!;;;;;;;;;x;
EVTOPTA_rexteut_1013;Fine. I was hoping for a rematch anyway!;Fine. I was hoping for a rematch anyway!;Fine. I was hoping for a rematch anyway!;;Fine. I was hoping for a rematch anyway!;;;;;;;;;x;
EVTOPTB_rexteut_1013;I'll be the one to defeat him!;I'll be the one to defeat him!;I'll be the one to defeat him!;;I'll be the one to defeat him!;;;;;;;;;x;
EVTDESCA_rexteut_1015;Adelaide has agreed to your request, and has married your son. Already your legitimacy has increased in the eyes of your vassals.;Adelaide has agreed to your request, and has married your son. Already your legitimacy has increased in the eyes of your vassals.;Adelaide has agreed to your request, and has married your son. Already your legitimacy has increased in the eyes of your vassals.;;Adelaide has agreed to your request, and has married your son. Already your legitimacy has increased in the eyes of your vassals.;;;;;;;;;x;
EVTDESCB_rexteut_1015;Word has reached you that after a failed attempt at escaping, Adelaide has realised the futility of her resistance. She has thus agreed to marry your son as she should have done in the first place.;Word has reached you that after a failed attempt at escaping, Adelaide has realised the futility of her resistance. She has thus agreed to marry your son as she should have done in the first place.;Word has reached you that after a failed attempt at escaping, Adelaide has realised the futility of her resistance. She has thus agreed to marry your son as she should have done in the first place.;;Word has reached you that after a failed attempt at escaping, Adelaide has realised the futility of her resistance. She has thus agreed to marry your son as she should have done in the first place.;;;;;;;;;x;
EVTOPTA_rexteut_1015;Wonderful!;Wonderful!;Wonderful!;;Wonderful!;;;;;;;;;x;
EVTDESC_rexteut_1017;The your armies have met Otto's in battle and have come out victorious! As the meddlesome German king flees with his tail between his legs, it's clear that he'll think twice before meddling with you and your kingdom!;The your armies have met Otto's in battle and have come out victorious! As the meddlesome German king flees with his tail between his legs, it's clear that he'll think twice before meddling with you and your kingdom!;The your armies have met Otto's in battle and have come out victorious! As the meddlesome German king flees with his tail between his legs, it's clear that he'll think twice before meddling with you and your kingdom!;;The your armies have met Otto's in battle and have come out victorious! As the meddlesome German king flees with his tail between his legs, it's clear that he'll think twice before meddling with you and your kingdom!;;;;;;;;;x;
EVTOPTA_rexteut_1017;That'll teach that upstart!;That'll teach that upstart!;That'll teach that upstart!;;That'll teach that upstart!;;;;;;;;;x;
EVTOPTB_rexteut_1017;Second time's the charm!;Second time's the charm!;Second time's the charm!;;Second time's the charm!;;;;;;;;;x;
EVTOPTC_rexteut_1017;My father's folly is undone!;My father's folly is undone!;My father's folly is undone!;;My father's folly is undone!;;;;;;;;;;
EVTDESC_rexteut_1018;Now that Berengar has been defeated, you are free to marry Otto.;Now that Berengar has been defeated, you are free to marry Otto.;Now that Berengar has been defeated, you are free to marry Otto.;;Now that Berengar has been defeated, you are free to marry Otto.;;;;;;;;;;
EVTDESC_rexteut_1019;An attempt at escape on your part has ended in failure when the lord you reached out declined to aid you. Now, with security in your prison increased, it's looking like you wont get another chance. It looks like you only choices now are to surrender to your oppressors or wait to die in prison... or worse...;An attempt at escape on your part has ended in failure when the lord you reached out declined to aid you. Now, with security in your prison increased, it's looking like you wont get another chance. It looks like you only choices now are to surrender to your oppressors or wait to die in prison... or worse...;An attempt at escape on your part has ended in failure when the lord you reached out declined to aid you. Now, with security in your prison increased, it's looking like you wont get another chance. It looks like you only choices now are to surrender to your oppressors or wait to die in prison... or worse...;;An attempt at escape on your part has ended in failure when the lord you reached out declined to aid you. Now, with security in your prison increased, it's looking like you wont get another chance. It looks like you only choices now are to surrender to your oppressors or wait to die in prison... or worse...;;;;;;;;;;
EVTOPTA_rexteut_1019;I don't have a choice anymore, do I?;I don't have a choice anymore, do I?;I don't have a choice anymore, do I?;;I don't have a choice anymore, do I?;;;;;;;;;;
EVTOPTB_rexteut_1019;I'll never give in!;I'll never give in!;I'll never give in!;;I'll never give in!;;;;;;;;;;
EVTDESC_rexteut_1021;Berengar may have imprisoned you, but he hasn't won yet! During your time in captivity, you've noticed an opportunity to escape. However, without some outside aid, you're almost certain to be recaptured. It should be simple to sneak out a message to one of Berengar's vassals, so long as they're willing to help...;Berengar may have imprisoned you, but he hasn't won yet! During your time in captivity, you've noticed an opportunity to escape. However, without some outside aid, you're almost certain to be recaptured. It should be simple to sneak out a message to one of Berengar's vassals, so long as they're willing to help...;Berengar may have imprisoned you, but he hasn't won yet! During your time in captivity, you've noticed an opportunity to escape. However, without some outside aid, you're almost certain to be recaptured. It should be simple to sneak out a message to one of Berengar's vassals, so long as they're willing to help...;;Berengar may have imprisoned you, but he hasn't won yet! During your time in captivity, you've noticed an opportunity to escape. However, without some outside aid, you're almost certain to be recaptured. It should be simple to sneak out a message to one of Berengar's vassals, so long as they're willing to help...;;;;;;;;;;
EVTOPTA_rexteut_1021;I can't waste this opportunity!;I can't waste this opportunity!;I can't waste this opportunity!;;I can't waste this opportunity!;;;;;;;;;;
EVTOPTB_rexteut_1021;No, it's too risky!;No, it's too risky!;No, it's too risky!;;No, it's too risky!;;;;;;;;;;
EVTDESC_rexteut_1022;Once again the Iron Crown of the Lombards has changed hands, Berengar and his heirs having been forced from the throne. With Italy seemingly weakened and showing no signs of stability any time soon, now may well be the time to exert your authority south of the Alps and unite the crowns of Italy and Germany...;Once again the Iron Crown of the Lombards has changed hands, Berengar and his heirs having been forced from the throne. With Italy seemingly weakened and showing no signs of stability any time soon, now may well be the time to exert your authority south of the Alps and unite the crowns of Italy and Germany...;Once again the Iron Crown of the Lombards has changed hands, Berengar and his heirs having been forced from the throne. With Italy seemingly weakened and showing no signs of stability any time soon, now may well be the time to exert your authority south of the Alps and unite the crowns of Italy and Germany...;;Once again the Iron Crown of the Lombards has changed hands, Berengar and his heirs having been forced from the throne. With Italy seemingly weakened and showing no signs of stability any time soon, now may well be the time to exert your authority south of the Alps and unite the crowns of Italy and Germany...;;;;;;;;;;
EVTOPTA_rexteut_1022;Time to put an end to this instability in Italy...;Time to put an end to this instability in Italy...;Time to put an end to this instability in Italy...;;Time to put an end to this instability in Italy...;;;;;;;;;;
EVTOPTB_rexteut_1022;I don't really care, to be honest...;I don't really care, to be honest...;I don't really care, to be honest...;;I don't really care, to be honest...;;;;;;;;;;
EVTDESC_rexteut_1023;While you have managed to obtain the coveted crown of Italy, your gains have had an unfortunate consequence. Otto of Germany, eager to take the crown for himself, has decided to march south on the basis of "restoring stability to Italy"...;While you have managed to obtain the coveted crown of Italy, your gains have had an unfortunate consequence. Otto of Germany, eager to take the crown for himself, has decided to march south on the basis of "restoring stability to Italy"...;While you have managed to obtain the coveted crown of Italy, your gains have had an unfortunate consequence. Otto of Germany, eager to take the crown for himself, has decided to march south on the basis of "restoring stability to Italy"...;;While you have managed to obtain the coveted crown of Italy, your gains have had an unfortunate consequence. Otto of Germany, eager to take the crown for himself, has decided to march south on the basis of "restoring stability to Italy"...;;;;;;;;;;
EVTOPTA_rexteut_1023;Well... that wasn't supposed to happen...;Well... that wasn't supposed to happen...;Well... that wasn't supposed to happen...;;Well... that wasn't supposed to happen...;;;;;;;;;;
EVTDESC_rexteut_1024;The war with Italy is over, and opportunity knocks: the March of Verona lies on the border of your realm, and it's highly likely that [Root.Liege.GetTitledName] will be looking for any avenue to stick the boot into his former Italian enemies...;The war with Italy is over, and opportunity knocks: the March of Verona lies on the border of your realm, and it's highly likely that [Root.Liege.GetTitledName] will be looking for any avenue to stick the boot into his former Italian enemies...;The war with Italy is over, and opportunity knocks: the March of Verona lies on the border of your realm, and it's highly likely that [Root.Liege.GetTitledName] will be looking for any avenue to stick the boot into his former Italian enemies...;;The war with Italy is over, and opportunity knocks: the March of Verona lies on the border of your realm, and it's highly likely that [Root.Liege.GetTitledName] will be looking for any avenue to stick the boot into his former Italian enemies...;;;;;;;;;;
EVTOPTA_rexteut_1024;Verona will be a fine addition to my realm!;Verona will be a fine addition to my realm!;Verona will be a fine addition to my realm!;;Verona will be a fine addition to my realm!;;;;;;;;;;
EVTOPTB_rexteut_1024;Best not meddle in these matters...;Best not meddle in these matters...;Best not meddle in these matters...;;Best not meddle in these matters...;;;;;;;;;;
EVTDESC_rexteut_1025;It appears that [From.GetBestName] has sent you a request, asking for you to grant [From.GetHerHim] the March of Verona as a reward for [From.GetHerHis] support during the war with Italy. While weakening Italy further might be a good idea in the long run, the question is whether it's worth empowering [From.GetTitledName] in response...;It appears that [From.GetBestName] has sent you a request, asking for you to grant [From.GetHerHim] the March of Verona as a reward for [From.GetHerHis] support during the war with Italy. While weakening Italy further might be a good idea in the long run, the question is whether it's worth empowering [From.GetTitledName] in response...;It appears that [From.GetBestName] has sent you a request, asking for you to grant [From.GetHerHim] the March of Verona as a reward for [From.GetHerHis] support during the war with Italy. While weakening Italy further might be a good idea in the long run, the question is whether it's worth empowering [From.GetTitledName] in response...;;It appears that [From.GetBestName] has sent you a request, asking for you to grant [From.GetHerHim] the March of Verona as a reward for [From.GetHerHis] support during the war with Italy. While weakening Italy further might be a good idea in the long run, the question is whether it's worth empowering [From.GetTitledName] in response...;;;;;;;;;;
EVTOPTA_rexteut_1025;I will grant [From.GetHerHim] what [From.GetSheHe] desires.;I will grant [From.GetHerHim] what [From.GetSheHe] desires.;I will grant [From.GetHerHim] what [From.GetSheHe] desires.;;I will grant [From.GetHerHim] what [From.GetSheHe] desires.;;;;;;;;;;
EVTOPTB_rexteut_1025;I will not reward greed such as this.;I will not reward greed such as this.;I will not reward greed such as this.;;I will not reward greed such as this.;;;;;;;;;;
EVTDESC_rexteut_1026;To [Root.GetTitledName] \n\nI have considered your request, and have graciously decided to grant you your desire. The March of Verona shall henceforth be considered part of your demesne.;To [Root.GetTitledName] \n\nI have considered your request, and have graciously decided to grant you your desire. The March of Verona shall henceforth be considered part of your demesne.;To [Root.GetTitledName] \n\nI have considered your request, and have graciously decided to grant you your desire. The March of Verona shall henceforth be considered part of your demesne.;;To [Root.GetTitledName] \n\nI have considered your request, and have graciously decided to grant you your desire. The March of Verona shall henceforth be considered part of your demesne.;;;;;;;;;;
EVTDESC_rexteut_1027;To [Root.GetTitledName] \n\nI have considered your request, and while the support you provided me during the war with Italy is very much appreciated, I see no reason why I should grant you such a reward. ;To [Root.GetTitledName] \n\nI have considered your request, and while the support you provided me during the war with Italy is very much appreciated, I see no reason why I should grant you such a reward. ;To [Root.GetTitledName] \n\nI have considered your request, and while the support you provided me during the war with Italy is very much appreciated, I see no reason why I should grant you such a reward. ;;To [Root.GetTitledName] \n\nI have considered your request, and while the support you provided me during the war with Italy is very much appreciated, I see no reason why I should grant you such a reward. ;;;;;;;;;;
EVTDESC_rexteut_1028;As if beating you in war was not bad enough, the despised Otto of Germany has added insult to injury. Using his leverage over you that his ill-gotten victory granted him, he has decreed, that the illustrious March of Verona shall henceforth be a part of [From.GetTItledName]'s demesne.;As if beating you in war was not bad enough, the despised Otto of Germany has added insult to injury. Using his leverage over you that his ill-gotten victory granted him, he has decreed, that the illustrious March of Verona shall henceforth be a part of [From.GetTItledName]'s demesne.;As if beating you in war was not bad enough, the despised Otto of Germany has added insult to injury. Using his leverage over you that his ill-gotten victory granted him, he has decreed, that the illustrious March of Verona shall henceforth be a part of [From.GetTItledName]'s demesne.;;As if beating you in war was not bad enough, the despised Otto of Germany has added insult to injury. Using his leverage over you that his ill-gotten victory granted him, he has decreed, that the illustrious March of Verona shall henceforth be a part of [From.GetTItledName]'s demesne.;;;;;;;;;;
EVTOPTA_rexteut_1028;Unforgivable! Utterly unforgivable!;Unforgivable! Utterly unforgivable!;Unforgivable! Utterly unforgivable!;;Unforgivable! Utterly unforgivable!;;;;;;;;;;
#INVESTITURE EVENTS#;;;;;;;;;;;;;;;
EVTNAME_rexteut_2002;Dictatus Papae;Dictatus Papae;Dictatus Papae;;Dictatus Papae;;;;;;;;;;
EVTDESC_rexteut_2002;For years debates have raged about where the power of Kings ends and the power of the Clergy begins. Now the Pope himself has weighed in, laying down 27 powers he feels the Papacy has. Among these, he asserts that the Pope alone has the authority to appoint bishops, and that only he may use the Imperial Insignia, and may depose emperors at his leisure.;For years debates have raged about where the power of Kings ends and the power of the Clergy begins. Now the Pope himself has weighed in, laying down 27 powers he feels the Papacy has. Among these, he asserts that the Pope alone has the authority to appoint bishops, and that only he may use the Imperial Insignia, and may depose emperors at his leisure.;For years debates have raged about where the power of Kings ends and the power of the Clergy begins. Now the Pope himself has weighed in, laying down 27 powers he feels the Papacy has. Among these, he asserts that the Pope alone has the authority to appoint bishops, and that only he may use the Imperial Insignia, and may depose emperors at his leisure.;;For years debates have raged about where the power of Kings ends and the power of the Clergy begins. Now the Pope himself has weighed in, laying down 27 powers he feels the Papacy has. Among these, he asserts that the Pope alone has the authority to appoint bishops, and that only he may use the Imperial Insignia, and may depose emperors at his leisure.;;;;;;;;;;
EVTOPTA_rexteut_2002;How dare that jumped-up bishop meddle in my authority!;How dare that jumped-up bishop meddle in my authority!;How dare that jumped-up bishop meddle in my authority!;;How dare that jumped-up bishop meddle in my authority!;;;;;;;;;;
EVTOPTB_rexteut_2002;The Pope knows best...;The Pope knows best...;The Pope knows best...;;The Pope knows best...;;;;;;;;;;
EVTOPTC_rexteut_2002;This could be bad;This could be bad;This could be bad;;This could be bad;;;;;;;;;;
EVTOPTD_rexteut_2002;Sounds fair;Sounds fair;Sounds fair;;Sounds fair;;;;;;;;;;
EVTNAME_rexteut_2004;Emperor Excommunicated!;Emperor Excommunicated!;Emperor Excommunicated!;;Emperor Excommunicated!;;;;;;;;;;
EVTDESC_rexteut_2004;Controversy over rights of investiture has caused relations between the Emperor and the Pope to collapse completely, and the Emperor has been excommunicated for his insults to the Papacy.;Controversy over rights of investiture has caused relations between the Emperor and the Pope to collapse completely, and the Emperor has been excommunicated for his insults to the Papacy.;Controversy over rights of investiture has caused relations between the Emperor and the Pope to collapse completely, and the Emperor has been excommunicated for his insults to the Papacy.;;Controversy over rights of investiture has caused relations between the Emperor and the Pope to collapse completely, and the Emperor has been excommunicated for his insults to the Papacy.;;;;;;;;;;
EVTOPTA_rexteut_2004;Who cares? I'm still Emperor!;Who cares? I'm still Emperor!;Who cares? I'm still Emperor!;;Who cares? I'm still Emperor!;;;;;;;;;x;
EVTOPTB_rexteut_2004;Perhaps I need to repent before things get out of hand...;Perhaps I need to repent before things get out of hand...;Perhaps I need to repent before things get out of hand...;;Perhaps I need to repent before things get out of hand...;;;;;;;;;x;
EVTNAME_rexteut_2005;Pope submits to Emperor!;Pope submits to Emperor!;Pope submits to Emperor!;;Pope submits to Emperor!;;;;;;;;;x;
